replicate,K,placebo,date,real_mae,placebo_mae,direct_mae
0,5,ShuffledResidual,2022-01-01,431.6721209931892,450.60470513125694,579.139888371083
0,5,ShuffledResidual,2022-02-01,638.9273336245258,681.4536153624928,476.6340170318217
0,5,ShuffledResidual,2022-03-01,378.76576835169664,443.64742475374476,964.87390725089
0,5,ShuffledResidual,2022-04-01,277.26886525545234,267.3134828702994,243.50452984269077
0,5,ShuffledResidual,2022-05-01,376.49331598130357,382.7637723706227,430.95039374163946
0,5,ShuffledResidual,2022-06-01,620.3170270250323,728.1789199000829,621.0860696195253
0,5,ShuffledResidual,2022-07-01,328.39791220894097,386.7890900975428,305.5820230064298
0,5,ShuffledResidual,2022-08-01,386.1185877777833,397.16038181710553,392.91153694197345
0,5,ShuffledResidual,2022-09-01,324.0756354438885,298.7844805118917,537.8890577802711
0,5,ShuffledResidual,2022-10-01,531.9298412583595,539.219800841113,497.6238375038415
0,5,ShuffledResidual,2022-11-01,1298.5656720025295,1290.885490322316,1286.3740784563088
0,5,ShuffledResidual,2022-12-01,2144.5099671023077,2191.942979867813,2531.83823636844
0,5,ShuffledResidual,2023-01-01,1007.1659554327944,949.4045182882089,729.3784026300074
0,5,ShuffledResidual,2023-02-01,553.5567842413604,394.0366358690725,473.36389584221797
0,5,ShuffledResidual,2023-03-01,1732.8999606143902,1565.953562453171,1599.0565601987075
0,5,ShuffledResidual,2023-04-01,200.72805673076948,196.46823512533484,240.8562570074526
0,5,ShuffledResidual,2023-05-01,388.60806316828314,244.1457895837416,435.14869294393475
0,5,ShuffledResidual,2023-06-01,647.2492386627431,778.6150003967132,642.9147078609726
0,5,ShuffledResidual,2023-07-01,306.700896957432,300.78249063437704,219.07211388522455
0,5,ShuffledResidual,2023-08-01,167.30257053285501,189.09324840760203,165.9126216098877
0,5,ShuffledResidual,2023-09-01,548.8180591376009,534.657463657859,496.47413948496467
0,5,ShuffledResidual,2023-10-01,232.88518002696492,241.9620494492689,289.70680270685773
0,5,ShuffledResidual,2023-11-01,332.6539397537667,421.74646380140047,445.3486641477715
0,5,ShuffledResidual,2023-12-01,570.4545535591055,430.15336848657915,428.16242857877785
0,5,ShuffledResidual,2024-01-01,414.941115153445,429.36378986934614,420.36984188387197
0,5,ShuffledResidual,2024-02-01,201.69989612450206,236.30290052922675,174.6344998063825
0,5,ShuffledResidual,2024-03-01,147.3976968576378,216.69675051214253,250.2184247950541
0,5,ShuffledResidual,2024-04-01,454.5646558584099,431.9320941005893,469.79545987182183
0,5,ShuffledResidual,2024-05-01,350.3359423361323,325.86840567908,418.4290507480101
0,5,ShuffledResidual,2024-06-01,1003.3566982237928,975.9960805526882,897.6661282609286
0,5,ShuffledResidual,2024-07-01,256.9790809796071,248.0170179317647,261.1976724807667
0,5,ShuffledResidual,2024-08-01,478.2728808085949,500.02269326350705,498.0299977936679
0,5,ShuffledResidual,2024-09-01,626.5272573262279,556.8866331577116,577.34927885049
0,5,ShuffledResidual,2024-10-01,254.03864756120046,284.0755418337468,271.61587930023853
0,5,ShuffledResidual,2024-11-01,343.5484544105832,351.02769055403576,354.30140675365016
0,5,ShuffledResidual,2024-12-01,324.0257986838676,307.03763043385044,364.3291159639958
0,5,ShuffledResidual,2025-01-01,537.8743915675283,529.3178151140177,577.521592430057
0,5,ShuffledResidual,2025-02-01,302.0248806714093,292.32920752872946,371.6457028318754
0,5,ShuffledResidual,2025-03-01,214.33374645891936,173.88996056583065,199.08783185146564
0,5,ShuffledResidual,2025-04-01,323.3214842208772,349.8193137847237,306.7234932374254
0,5,ShuffledResidual,2025-05-01,577.3159543552814,584.3434838671849,537.4124703276877
